taxa,Head,Rump
Q181,33,30
Q182,2.33,18.22
Q183,4.78,33.33
Q184,11.78,49
Q185,19.66,32.45
Q186,169.22,153.78
Q187,203.33,61.11
Q188,14.11,32
Q189,9.56,33.78
Q190,5.67,20.56
Q191,15.89,29.67
Q192,6.22,15.67
Q193,27.56,31.33
Q194,32.33,34.44
Q195,19.22,27.67
Q196,197.33,182.11
Q197,54.67,41.33
Q198,220.33,166.11
Q199,118.67,92.78
Q200,27.89,34
Q201,58.33,34
Q202,44.22,30.11
Q203,40.56,61.89
Q204,73.22,19.22
Q205,59.56,27.34
Q206,143.78,71.45
Q207,217.67,22.78
Q208,49.22,42.44
Q209,41.89,52.22
Q210,12.67,17.44
Q211,14.11,37.22
Q212,34.22,45.56
Q213,57.22,50.11
Q214,211.89,200.67
Q215,51.56,25.55
Q216,202.89,10.22
Q217,26.78,20.44
Q218,57.44,15
Q219,221.67,109
Q220,48.66,49.11
Q221,226.11,133.44
Q222,53.67,33
Q223,28.67,19.78
Q224,24.89,14.33
Q225,22.11,29.67
Q226,20.89,43.44
Q227,27.89,31.56
Q228,182.89,20.78
Q229,33.33,49.33
Q230,67.11,33
Q231,36.78,32.56
Q232,40.78,60.67
Q233,26.33,34.44
Q234,50,35.11
Q235,37.78,44.33
Q236,39.67,30.11
Q237,22.11,20.22
Q238,34.67,24.33
Q239,NA,20
Q240,25.56,34
Q241,22.34,66.45
Q242,41.89,45.11
Q243,213.11,203.55
Q244,14.78,28.56
Q245,32.89,31
Q246,32.66,41.22
Q247,48.33,75.56
Q248,51.11,36.22
Q249,40,12.11
Q250,211.56,120.44
Q251,205.22,134.11
Q254,89.22,19.22
Q255,225.55,8.45
Q258,17,35.33
Q261,85.11,37.89
Q264,85.89,27.33
Q266,20.89,20.56
Q268,47,47.78
Q273,37.67,45.66
Q275,72.33,31.66
Q276,48.44,31.89
Q278,81.45,4.89
Q279,102.11,38.67
Q280,87,70.33
Q282,47.66,60.67
Q284,34.34,33.22
Q288,72.11,64.67
Q292,217,12.78
Q297,110.11,52.11
Q298,52.45,56
Q301,103.22,20.11
Q302,187,112.67
Q303,39.78,13.33
Q304,32.33,18.11
Q305,209.78,43.34
Q306,38.78,43.78
Q307,89.11,40.67
Q308,51,47.56
Q309,33.78,15.11
Q310,27.89,5.67
Q311,4.44,11.78
Q312,126.11,41
Q313,29.66,13.34
Q314,31.78,53.89
Q315,46.56,49.33
Q316,25.44,57.33
Q317,60.78,46.44
Q318,42.44,15.11
Q319,67.67,36
Q320,25.33,18.22
Q321,220.33,45.34
Q322,43,53.67
Q323,22.89,17.44
Q324,209.89,35.22
Q325,61.44,20.44
Q326,37.89,21.11
Q327,21.78,26.89
Q328,5.78,28.78
Q329,200.11,114.67
Q330,42.56,21.22
Q331,56.22,45.66
Q332,10.44,26.78
Q333,NA,29.33
Q401,NA,44
Q402,NA,26.44
Q404,44.34,38.33
Q407,55,150.67
Q408,53.33,34.67
Q409,NA,80.33
Q410,52.33,119.55
Q411,NA,94.44
Q412,37.33,122
Q413,208.45,163.56
Q414,112.56,117.67
Q415,46.22,170.89
Q416,136.67,172.11
Q417,40.22,69.67
Q418,NA,126.33
Q419,NA,96.67
Q420,NA,90.56
Q421,NA,123.33
Q422,134.11,87
Q425,NA,142.55
Q426,86,134.78
Q427,NA,132.56
Q428,NA,125.33
Q431,NA,56.78
Q432,68.11,135
Q433,NA,55.56
Q436,153.56,135.78
Q437,NA,140.22
Q438,NA,114.55
Q439,NA,122.78
Q440,NA,61.55
Q441,NA,58.67
Q442,NA,79.78
Q443,NA,83.34
Q445,113,120.33
Q447,NA,79.67
Q448,NA,64.11
Q449,NA,73.55
Q450,NA,49.45
Q451,NA,69
Q454,112.33,37.66
Q456,50.56,60.33
Q457,NA,118.33
Q460,NA,59.34
Q461,NA,41.89
Q462,109,100.33
Q464,48.45,52
Q465,NA,90.11
Q466,NA,94
Q467,NA,64.66
Q468,NA,97.44
Q469,66.11,29.55
Q472,NA,95.56
Q473,46.11,NA
Q474,NA,62.34
Q475,115.44,94.67
Q477,NA,77.33
Q478,51.33,139.11
Q479,NA,55.67
Q480,NA,94.89
Q481,81.89,118.11
Q482,73.44,89.56
Q483,61,65.44
Q484,NA,56.34
Q485,NA,136.89
Q487,75,81.11
Q489,NA,49.66
Q490,91.11,62.44
Q492,NA,59.11
Q494,NA,85
Q495,38.33,24.33
Q496,NA,27.56
Q497,30,32.33
Q498,NA,30.78
Q499,26.33,20
Q500,84,30
Q501,17,16.44
Q502,NA,18.67
Q503,NA,16
Q504,27.78,17.44
Q505,18.22,25.33
Q506,NA,23.22
Q507,NA,50.66
Q508,10.89,60.56
Q511,NA,23.89
Q512,45.89,27.67
Q513,NA,127.66
Q514,NA,65
Q515,NA,52.66
Q516,NA,141.67
Q517,118.89,27.67
Q518,NA,52.66
Q519,49.78,72.67
Q520,NA,23.11
Q521,NA,19.33
Q522,NA,42.89
Q523,NA,62
Q524,NA,38
Q525,47.22,15.67
Q526,NA,60
Q527,NA,56.44
Q528,15.89,34.45
Q529,NA,49.67
Q530,30.33,26.44
Q531,NA,13.33
Q552,92,58.33
Q553,NA,28.67
Q554,NA,48.67
Q555,NA,29.89
